ID,symboling
1,3
2,3
3,1
4,2
5,2
6,2
7,1
8,1
9,1
10,0
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,2
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,-1
30,3
31,2
32,2
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,2
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,3
57,3
58,3
59,3
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,-1
69,-1
70,0
71,-1
72,-1
73,3
74,0
75,1
76,1
77,2
78,2
79,2
80,1
81,3
82,3
83,3
84,3
85,3
86,1
87,1
88,1
89,-1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,0
101,0
102,0
103,0
104,0
105,3
106,3
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,-1
125,3
126,3
127,3
128,3
129,3
130,1
131,0
132,2
133,3
134,2
135,3
136,2
137,3
138,2
139,2
140,2
141,2
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,2
169,2
170,2
171,2
172,2
173,2
174,-1
175,-1
176,-1
177,-1
178,-1
179,3
180,3
181,-1
182,-1
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,3
191,3
192,0
193,0
194,0
195,-2
196,-1
197,-2
198,-1
199,-2
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
